job_id,job_title,company_name,company_url,posted_time,page_number
230924006827,Lead Generation Specialist In IT B2B Process,Denave,https://www.naukri.com/denave-jobs-careers-51811,26 Days Ago,17
221024927525,Business Development Associate,MIT,https://www.naukri.com/credicus-business-services-jobs-careers-123749799,Just Now,17
221024927452,Business Development Associate @ MIT Alandi,MIT,https://www.naukri.com/credicus-business-services-jobs-careers-123749799,Just Now,17
221024020812,Business Development Executive,Sunstream Global Technologies,https://www.naukri.com/sunstream-jobs-careers-2219878,Few Hours Ago,17
221024012103,Exclusive offer For Freshers MBA- Business Development Executive,Black and white Business,,1 Day Ago,17
221024011464,On Spot offer For Freshers MBA- Business Development Executive,On Spot offer for Freshers MBA- Business Development ,,1 Day Ago,17
221024011226,Business Development Executive,BLACK AND WHITE CONSULTING,https://www.naukri.com/black-and-white-consulting-jobs-careers-4145376,1 Day Ago,17
101024014780,"Business Development Executive - Sion, Mumbai location",Wishtel India,https://www.naukri.com/wishtel-india-jobs-careers-123859633,12 Days Ago,17
221024927560,"Lead Generation Executive, Outbound Voice process, Telecaller",Athena BPO,https://www.naukri.com/credicus-business-services-jobs-careers-123749799,Just Now,17
240924011872,Business Development Specialist (BDS) - US Shift,Leading Client.,,28 Days Ago,17
181024016593,"Inside Sales Executive @JM Finance
",JM Financial,https://www.naukri.com/credicus-business-services-jobs-careers-123749799,4 Days Ago,18
221024925089,Inside Sales Executive/Insurance,Kotak Life Insurance,https://www.naukri.com/credicus-business-services-jobs-careers-123749799,Just Now,18
211024011465,Business Development Executive,Expo Stand Services,https://www.naukri.com/expo-stand-services-jobs-careers-6477022,1 Day Ago,18
211024002572,Business Development Executive,IndiaMART,https://www.naukri.com/indiamart-jobs-careers-18735,1 Day Ago,18
151024020810,Business Development Executive,IBG Infotech Pvt Ltd ,https://www.naukri.com/ibg-fincon-solutions-jobs-careers-1028008,7 Days Ago,18
221024921674,"Lead Generation Executive, Outbound Voice process, Telecaller",Athena BPO,https://www.naukri.com/credicus-business-services-jobs-careers-123749799,Few Hours Ago,18
250924011380,Demand Generation Executive,On Direct Marketing Services,https://www.naukri.com/on-direct-marketing-services-jobs-careers-6969213,27 Days Ago,18
240924023333,Demand Generation Executive,On Direct Marketing Services,https://www.naukri.com/on-direct-marketing-services-jobs-careers-6969213,28 Days Ago,18
31024014101,Job Alert - Demand Generation Executive,On Direct Marketing Services,https://www.naukri.com/on-direct-marketing-services-jobs-careers-6969213,15 Days Ago,18
171024917296,Business Development Associate - Presales (Marathi),Nxtwave Disruptive Technologies,https://www.naukri.com/nxtwave-disruptive-technologies-jobs-careers-6464318,5 Days Ago,18
171024018966,Business Development Executive,Trivium Education Services,https://www.naukri.com/trivium-education-services-jobs-careers-734843,5 Days Ago,18
181024011915,Inside Sales Executive,Brickbillion Properties,https://www.naukri.com/brickbillion-properties-jobs-careers-124419200,4 Days Ago,18
51024908143,BDE / Lead Generation Specialist,Protonbits Software,https://www.naukri.com/protonbits-jobs-careers-124236004,17 Days Ago,19
300924503017,Lead Generation Specialist CIS,Techbiz Global,https://www.naukri.com/techbiz-global-jobs-careers-123720455,22 Days Ago,19
270924009246,Lead Generation Specialist,OffLens Design,https://www.naukri.com/offlens-tech-jobs-careers-124065234,25 Days Ago,19
250924508292,Lead Generation Specialist,Nway Erp,https://www.naukri.com/nway-erp-jobs-careers-124381374,27 Days Ago,19
250924504981,Lead Generation Specialist (Cold Email + LinkedIn),Optimite,https://www.naukri.com/optimite-jobs-careers-5177666,27 Days Ago,19
250924503639,Lead Generation Specialist,Meduit Labs,https://www.naukri.com/meduit-labs-jobs-careers-123545543,27 Days Ago,19
270924008038,Email Marketing Lead Generation and Conversion Specialist,ASV Consulting Services,https://www.naukri.com/asv-consulting-services-jobs-careers-124164974,25 Days Ago,19
250924505692,Lead Generation Specialist,Aubergine Solutions,https://www.naukri.com/aubergine-solutions-jobs-careers-3596606,27 Days Ago,19
